# Title: February 2025 Global Gridded Average Temperature
# Units: Degrees Celsius
# Base Period: 1991-2020
# Missing: -999.00
Latitude,Longitude,Anomaly,Rank
-77.5,162.5,0.64,148
-77.5,167.5,0.56,150
-77.5,172.5,0.28,143
-77.5,177.5,0.31,143
-77.5,182.5,-0.25,87
-77.5,187.5,0,114
-77.5,192.5,0.9,147
-77.5,197.5,1.28,158
-77.5,202.5,1.73,153
-77.5,207.5,2.27,165
-77.5,212.5,2.05,162
-77.5,217.5,1.29,152
-77.5,222.5,1.79,156
-77.5,227.5,1.91,158
-77.5,232.5,1.7,156
-77.5,237.5,0.31,119
-77.5,242.5,0.24,118
-77.5,247.5,-1.33,48
-77.5,252.5,-1.75,36
-77.5,257.5,-1.94,27
-77.5,262.5,-1.66,33
-77.5,267.5,-2.38,13
-77.5,272.5,-1.69,24
-77.5,277.5,-0.37,112
-77.5,282.5,-0.83,80
-77.5,287.5,-0.03,109
-77.5,292.5,-0.49,98
-77.5,297.5,-0.5,85
-77.5,302.5,0.25,122
-77.5,307.5,0.24,114
-77.5,312.5,0.27,115
-77.5,317.5,0.77,144
-77.5,322.5,0.36,85
-77.5,327.5,0.9,144
-77.5,332.5,1.18,136
-77.5,337.5,1.47,150
-77.5,342.5,0.83,128
-77.5,347.5,1.67,162
-77.5,352.5,1.4,149
-77.5,357.5,1.32,155
-72.5,2.5,1.22,167
-72.5,7.5,0.39,155
-72.5,12.5,0.17,138
-72.5,17.5,-0.35,87
-72.5,22.5,0.08,113
-72.5,27.5,-0.42,73
-72.5,32.5,-0.85,48
-72.5,37.5,-1.1,39
-72.5,42.5,-2.06,21
-72.5,47.5,-1.14,43
-72.5,52.5,-1.16,37
-72.5,57.5,-0.78,52
-72.5,62.5,-0.49,67
-72.5,67.5,-0.46,68
-72.5,72.5,-0.03,83
-72.5,77.5,-0.03,87
-72.5,82.5,0.85,132
-72.5,87.5,1.51,152
-72.5,92.5,0.39,120
-72.5,97.5,0.83,135
-72.5,102.5,1.72,157
-72.5,107.5,2.57,167
-72.5,112.5,2.57,167
-72.5,117.5,2.58,169
-72.5,122.5,2.05,158
-72.5,127.5,1.43,150
-72.5,132.5,0.88,134
-72.5,137.5,0.05,83
-72.5,142.5,-1.36,17
-72.5,147.5,-0.68,55
-72.5,152.5,-1.14,40
-72.5,157.5,-0.78,57
-72.5,162.5,0.12,122
-72.5,167.5,0.56,173
-72.5,172.5,0.11,147
-72.5,177.5,0.09,115
-72.5,182.5,0.13,117
-72.5,187.5,0.2,158
-72.5,192.5,0.18,160
-72.5,197.5,0.06,155
-72.5,202.5,0.2,164
-72.5,207.5,0.24,165
-72.5,212.5,0.17,161
-72.5,217.5,0.02,139
-72.5,222.5,-0.03,142
-72.5,227.5,0.08,145
-72.5,232.5,0.02,104
-72.5,237.5,-0.03,93
-72.5,242.5,-0.02,153
-72.5,247.5,0.03,159
-72.5,252.5,-0.11,109
-72.5,257.5,-0.09,127
-72.5,262.5,-0.53,17
-72.5,267.5,-0.97,10
-72.5,272.5,-0.61,17
-72.5,277.5,-0.47,132
-72.5,282.5,-0.4,141
-72.5,287.5,-0.62,52
-72.5,292.5,-0.81,41
-72.5,297.5,-1.05,31
-72.5,302.5,-0.02,1
-72.5,307.5,-0.01,1
-72.5,312.5,-0,1
-72.5,317.5,0.02,159
-72.5,322.5,0.02,149
-72.5,327.5,0.36,157
-72.5,332.5,0.35,156
-72.5,337.5,0.23,159
-72.5,342.5,-0.03,140
-72.5,347.5,-0.04,135
-72.5,352.5,0.62,160
-72.5,357.5,0.7,155
-67.5,2.5,0.27,160
-67.5,7.5,0.25,159
-67.5,12.5,0.3,162
-67.5,17.5,0.16,155
-67.5,22.5,0.13,159
-67.5,27.5,0.16,159
-67.5,32.5,0.2,164
-67.5,37.5,0.24,168
-67.5,42.5,0.32,172
-67.5,47.5,0.04,152
-67.5,52.5,-0.41,91
-67.5,57.5,-0.12,107
-67.5,62.5,-0.11,101
-67.5,67.5,0.27,141
-67.5,72.5,0.35,169
-67.5,77.5,0.27,160
-67.5,82.5,0.41,140
-67.5,87.5,0.99,168
-67.5,92.5,0.69,159
-67.5,97.5,1.29,157
-67.5,102.5,1.15,152
-67.5,107.5,1.65,174
-67.5,112.5,1.46,167
-67.5,117.5,0.94,161
-67.5,122.5,0.89,169
-67.5,127.5,0.86,157
-67.5,132.5,0.3,112
-67.5,137.5,0.19,85
-67.5,142.5,0.31,132
-67.5,147.5,0.08,140
-67.5,152.5,0.45,166
-67.5,157.5,0.76,173
-67.5,162.5,0.53,171
-67.5,167.5,0.43,169
-67.5,172.5,0.29,164
-67.5,177.5,0.34,166
-67.5,182.5,0.39,162
-67.5,187.5,0.4,157
-67.5,192.5,0.4,158
-67.5,197.5,0.4,161
-67.5,202.5,0.36,153
-67.5,207.5,0.33,147
-67.5,212.5,0.3,145
-67.5,217.5,0.21,117
-67.5,222.5,0.1,80
-67.5,227.5,0.08,71
-67.5,232.5,0.05,86
-67.5,237.5,0.02,88
-67.5,242.5,-0.05,85
-67.5,247.5,-0.09,79
-67.5,252.5,-0.09,80
-67.5,257.5,-0.1,83
-67.5,262.5,-0.11,90
-67.5,267.5,-0.11,87
-67.5,272.5,-0.16,82
-67.5,277.5,-0.2,89
-67.5,282.5,-0.19,93
-67.5,287.5,-0.16,88
-67.5,292.5,-0.12,116
-67.5,297.5,-0.14,56
-67.5,302.5,-0.03,1
-67.5,307.5,-0.03,155
-67.5,312.5,0.19,155
-67.5,317.5,0.3,155
-67.5,322.5,0.26,147
-67.5,327.5,0.21,147
-67.5,332.5,0.21,152
-67.5,337.5,0.2,158
-67.5,342.5,0.21,158
-67.5,347.5,0.24,160
-67.5,352.5,0.27,162
-67.5,357.5,0.27,161
-62.5,2.5,0.41,176
-62.5,7.5,0.37,175
-62.5,12.5,0.33,175
-62.5,17.5,0.33,174
-62.5,22.5,0.31,174
-62.5,27.5,0.31,174
-62.5,32.5,0.26,173
-62.5,37.5,0.24,172
-62.5,42.5,0.21,169
-62.5,47.5,0.16,165
-62.5,52.5,0.16,165
-62.5,57.5,0.19,169
-62.5,62.5,0.19,166
-62.5,67.5,0.22,163
-62.5,72.5,0.27,167
-62.5,77.5,0.28,170
-62.5,82.5,0.32,171
-62.5,87.5,0.39,174
-62.5,92.5,0.43,176
-62.5,97.5,0.51,176
-62.5,102.5,0.49,175
-62.5,107.5,0.41,174
-62.5,112.5,0.39,173
-62.5,117.5,0.33,169
-62.5,122.5,0.29,164
-62.5,127.5,0.26,157
-62.5,132.5,0.23,148
-62.5,137.5,0.12,131
-62.5,142.5,0.13,126
-62.5,147.5,0.21,133
-62.5,152.5,0.32,152
-62.5,157.5,0.49,166
-62.5,162.5,0.58,168
-62.5,167.5,0.64,170
-62.5,172.5,0.64,171
-62.5,177.5,0.66,171
-62.5,182.5,0.68,169
-62.5,187.5,0.67,166
-62.5,192.5,0.63,160
-62.5,197.5,0.56,147
-62.5,202.5,0.46,136
-62.5,207.5,0.39,125
-62.5,212.5,0.39,125
-62.5,217.5,0.31,114
-62.5,222.5,0.25,107
-62.5,227.5,0.15,98
-62.5,232.5,-0.27,65
-62.5,237.5,0.08,107
-62.5,242.5,0.03,103
-62.5,247.5,0.02,103
-62.5,252.5,0,94
-62.5,257.5,-0.03,92
-62.5,262.5,-0.02,98
-62.5,267.5,-0.08,96
-62.5,272.5,-0.09,101
-62.5,277.5,-0.07,100
-62.5,282.5,-0.09,100
-62.5,287.5,-0.08,90
-62.5,292.5,-0.07,83
-62.5,297.5,-0.04,92
-62.5,302.5,-0.13,78
-62.5,307.5,0.14,142
-62.5,312.5,0.31,156
-62.5,317.5,0.19,147
-62.5,322.5,0.17,143
-62.5,327.5,0.22,149
-62.5,332.5,0.25,157
-62.5,337.5,0.26,154
-62.5,342.5,0.3,162
-62.5,347.5,0.41,168
-62.5,352.5,0.46,173
-62.5,357.5,0.43,173
-57.5,2.5,0.49,175
-57.5,7.5,0.5,175
-57.5,12.5,0.5,175
-57.5,17.5,0.5,176
-57.5,22.5,0.49,176
-57.5,27.5,0.47,176
-57.5,32.5,0.42,176
-57.5,37.5,0.32,171
-57.5,42.5,0.26,171
-57.5,47.5,0.16,162
-57.5,52.5,0.13,162
-57.5,57.5,0.16,164
-57.5,62.5,0.17,161
-57.5,67.5,0.18,159
-57.5,72.5,0.22,164
-57.5,77.5,0.28,166
-57.5,82.5,0.37,171
-57.5,87.5,0.45,173
-57.5,92.5,0.48,174
-57.5,97.5,0.57,175
-57.5,102.5,0.67,175
-57.5,107.5,0.69,175
-57.5,112.5,0.64,173
-57.5,117.5,0.62,174
-57.5,122.5,0.57,173
-57.5,127.5,0.49,164
-57.5,132.5,0.34,152
-57.5,137.5,0.18,135
-57.5,142.5,0.18,131
-57.5,147.5,0.35,146
-57.5,152.5,0.55,157
-57.5,157.5,0.75,165
-57.5,162.5,0.91,169
-57.5,167.5,1,172
-57.5,172.5,0.96,173
-57.5,177.5,0.89,173
-57.5,182.5,0.93,174
-57.5,187.5,0.98,172
-57.5,192.5,1,172
-57.5,197.5,0.98,171
